PR_Month,Delivery_Month,Material,PR_Qty,Delivery_Qty
1,1,23151823000018,0,0
2,2,23151823000018,0,0
3,3,23151823000018,2,2
4,4,23151823000018,0,0
5,5,23151823000018,0,0
6,6,23151823000018,0,0
7,7,23151823000018,0,0
8,8,23151823000018,0,0
9,9,23151823000018,5,5
10,11,23151823000018,3,3
11,11,23151823000018,1,1
12,12,23151823000018,0,0
1,1,42142531000073,0,0
2,2,42142531000073,0,0
3,3,42142531000073,2,2
4,4,42142531000073,0,0
5,5,42142531000073,0,0
6,6,42142531000073,0,0
7,7,42142531000073,0,0
8,8,42142531000073,0,0
9,9,42142531000073,0,0
10,10,42142531000073,0,0
11,11,42142531000073,0,0
12,12,42142531000073,0,0
1,1,42181503000004,10,10
2,2,42181503000004,15,15
3,3,42181503000004,0,0
4,4,42181503000004,15,15
5,5,42181503000004,0,0
6,6,42181503000004,15,15
7,7,42181503000004,15,15
8,8,42181503000004,0,0
9,9,42181503000004,0,0
10,10,42181503000004,0,0
11,11,42181503000004,10,10
12,12,42181503000004,0,0
1,2,42281603000019,1,1
2,2,42281603000019,0,0
3,3,42281603000019,0,0
4,4,42281603000019,0,0
5,5,42281603000019,0,0
6,6,42281603000019,0,0
7,7,42281603000019,0,0
8,8,42281603000019,1,1
9,9,42281603000019,0,0
10,10,42281603000019,0,0
11,11,42281603000019,0,0
12,12,42281603000019,0,0
1,1,51001020108002,0,0
2,2,51001020108002,0,0
3,3,51001020108002,0,0
4,4,51001020108002,0,0
5,5,51001020108002,0,0
6,7,51001020108002,84,84
7,7,51001020108002,0,0
8,8,51001020108002,0,0
9,9,51001020108002,0,0
10,10,51001020108002,0,0
11,11,51001020108002,0,0
12,12,51001020108002,0,0
1,1,51001020124002,0,0
2,2,51001020124002,0,0
3,3,51001020124002,0,0
4,4,51001020124002,0,0
5,5,51001020124002,0,0
6,6,51001020124002,0,0
7,7,51001020124002,9,9
8,8,51001020124002,0,0
9,9,51001020124002,0,0
10,10,51001020124002,0,0
11,11,51001020124002,0,0
12,12,51001020124002,0,0
1,1,51001020203001,0,0
2,2,51001020203001,0,0
3,3,51001020203001,2,2
3,4,51001020203001,2,2
4,4,51001020203001,4,4
5,5,51001020203001,0,0
6,6,51001020203001,0,0
7,7,51001020203001,0,0
8,8,51001020203001,0,0
9,9,51001020203001,0,0
10,10,51001020203001,0,0
11,11,51001020203001,0,0
12,12,51001020203001,0,0
1,1,51001020224008,0,0
2,2,51001020224008,26,26
3,3,51001020224008,0,0
4,4,51001020224008,0,0
5,5,51001020224008,0,0
6,6,51001020224008,0,0
7,7,51001020224008,0,0
8,8,51001020224008,0,0
9,9,51001020224008,0,0
10,10,51001020224008,0,0
11,11,51001020224008,0,0
12,12,51001020224008,0,0
1,1,51001030105001,0,0
2,2,51001030105001,0,0
3,3,51001030105001,0,0
4,4,51001030105001,0,0
5,5,51001030105001,0,0
6,6,51001030105001,0,0
7,7,51001030105001,0,0
8,8,51001030105001,0,0
9,9,51001030105001,0,0
10,10,51001030105001,3,3
11,11,51001030105001,0,0
12,12,51001030105001,0,0
1,1,51001030105002,0,0
2,2,51001030105002,0,0
3,3,51001030105002,0,0
4,4,51001030105002,0,0
5,5,51001030105002,8,8
6,6,51001030105002,0,0
7,7,51001030105002,0,0
8,8,51001030105002,0,0
9,9,51001030105002,0,0
10,10,51001030105002,3,3
11,11,51001030105002,0,0
12,12,51001030105002,0,0
1,1,51001060103001,0,0
2,2,51001060103001,0,0
3,3,51001060103001,30,30
4,4,51001060103001,0,0
5,5,51001060103001,30,30
6,6,51001060103001,0,0
7,7,51001060103001,0,0
8,8,51001060103001,0,0
9,9,51001060103001,0,0
10,10,51001060103001,60,60
11,11,51001060103001,0,0
12,12,51001060103001,0,0
1,1,51001090101005,0,0
2,2,51001090101005,0,0
3,3,51001090101005,0,0
4,4,51001090101005,0,0
5,5,51001090101005,0,0
6,7,51001090101005,42,42
7,7,51001090101005,0,0
8,8,51001090101005,0,0
9,9,51001090101005,0,0
10,10,51001090101005,0,0
11,11,51001090101005,0,0
12,12,51001090101005,0,0
1,1,51001100210003,0,0
2,2,51001100210003,21,15
3,3,51001100210003,89,29
4,4,51001100210003,19,19
5,5,51001100210003,12,12
6,6,51001100210003,0,0
7,7,51001100210003,15,15
8,8,51001100210003,3,3
9,9,51001100210003,6,6
10,10,51001100210003,6,6
11,11,51001100210003,12,12
12,12,51001100210003,0,0
1,1,51001100224001,0,0
2,2,51001100224001,0,0
3,3,51001100224001,0,0
4,4,51001100224001,2,2
5,5,51001100224001,2,2
6,6,51001100224001,0,0
7,7,51001100224001,2,2
8,8,51001100224001,4,4
9,9,51001100224001,0,0
10,10,51001100224001,4,4
11,11,51001100224001,5,5
12,12,51001100224001,0,0
1,1,51001100224004,0,0
2,2,51001100224004,0,0
